Plot,GS_Count,GS_Presence,Badger_Count,Badger_Presence,BRTE,POSE,NPG,EPG,TotalShrub,DispIndex_GS,Precip,STATSoil_PS,BurnFreq,Badg_Human,Badg_Grassland,GS_Human,GS_Grassland
108,16,1,2,1,92.09007177,0.224489796,0.340136054,0,0.224489796,0.018439089,285.5190125,98.25,2,0,100,0,100
109,17,1,1,1,89.9732014,0.557823129,0,0,0,0.017354437,289.7869873,98.25,2,0.127959053,98.14459373,0,100
116,41,1,0,0,0,42.32904589,0.112233446,0,5.214463167,0.062857143,285.651001,98.25,2,21.96856287,77.58233533,12.1559633,87.8440367
118,42,1,0,0,0,51.38304832,0,0,1.351382304,0.22,285.6640015,98.25,2,1.823486506,74.03355215,0,99.31880109
119,44,1,1,1,2.947845805,19.91946211,0,0,6.168964849,0.21,285.6640015,98.25,2,58.43621399,29.218107,0,70.2247191
121,40,1,0,0,15.93298969,28.06333631,0,0,1.117983963,0.106715675,285.6640015,98.25,2,29.8630137,62.32876712,1.425178147,46.31828979
137,2,0,0,0,93.58044093,2.473155592,0,0,0,0.007680295,279.4519958,94.72,1,50.33783784,39.56456456,34.20752566,54.27594071
138,10,1,1,1,79.27145303,5.335747453,0,0,0,0.023112508,259.6090088,96.25,4,0.408997955,99.59100204,0,100
146,2,0,0,0,94.28917149,2.114478114,0,0,0,0.009284767,270.2739868,96.25,2,0.712191035,99.03644742,0,100
147,5,1,0,0,74.90296828,1.347946586,0,2.493421958,0.113378685,0.003713907,270.2739868,96.25,3,0.118483412,94.1943128,0,98.43478261
154,25,1,3,1,70.56213938,4.49321369,0,0,0,0.120747671,266.4599915,96.25,2,2.733058779,96.48071883,1.029748284,98.97025172
176,0,0,0,0,90.31200898,1.335578002,0,0,0,0,207.6119995,97.5,2,35.13716648,64.71251409,22.97142857,77.02857143
179,0,0,0,0,66.60157127,6.130190797,8.352413019,0,0,0,229.4109955,96.25,4,30.57634731,50.78592814,28.27586207,59.65517241
201,25,1,1,1,79.89154286,2.265634582,0,0,0,0.074884526,260.2489929,98.06,1,0.860832138,62.84074605,0.255754476,19.9488491
